# 词语	拼音	主码	权重	词长	附加词码
安身	an shen	anuf	218	2	anufj anufjh
安生	an sheng	anug	201	2	anugj anugjh
岸上	an shang	anuh	376	2	anuhu anuhuy
安上	an shang	anuh	118	2	anuhj anuhjy
按上	an shang	anuh	85	2	anuhq anuhqy
暗伤	an shang	anuh	54	2	anuha anuhao
暗示	an shi	anui	2362	2	anuia anuiam
按时	an shi	anui	1625	2	anuiq anuiqa
暗室	an shi	anui	113	2	anuia anuiaj
安史之乱	an shi zhi luan	anuivilr	53	4	anuivilrj anuivilrjh
鞍山	an shan	anuj	3373	2	anujt anujtu
鞍山市	an shan shi	anujui	352	3	anujuit anujuity
按说	an shuo	anuo	180	2	anuoq anuoqi
安顺	an shun	anup	1328	2	anupj anupjl
安顺市	an shun shi	anupui	126	3	anupuij anupuijy
按顺序	an shun xu	anupxu	171	3	anupxuq anupxuqi
桉树	an shu	anuu	88	2	anuud anuudd
安睡	an shui	anuv	141	2	anuvj anuvjb
氨水	an shui	anuv	87	2	anuvo anuvoe
安装包	an zhuang bao	anvdbk	254	3	anvdbkj anvdbkjp
按着	an zhe	anve	447	2	anveq anveqt
安贞	an zhen	anvf	951	2	anvfj anvfjy
安置	an zhi	anvi	2736	2	anvij anvijw
安之	an zhi	anvi	295	2	anvij anviji
暗指	an zhi	anvi	75	2	anvia anviaq
安之若素	an zhi ruo su	anvirosu	43	4	anvirosuj anvirosujq
按照着	an zhao zhe	anvkve	204	3	anvkveq anvkveqt
安卓	an zhuo	anvo	944	2	anvoj anvojy
暗中	an zhong	anvs	1050	2	anvsa anvsal
案中	an zhong	anvs	348	2	anvsj anvsjl
按住	an zhu	anvu	741	2	anvuq anvuqo
安稳	an wen	anwf	1024	2	anwfj anwfjh
暗无天日	an wu tian ri	anwutmri	73	4	anwutmria anwutmriaa
安慰	an wei	anwz	6512	2	anwzj anwzjs
安危	an wei	anwz	351	2	anwzj anwzjn
暗笑	an xiao	anxc	131	2	anxca anxcah
安详	an xiang	anxd	609	2	anxdj anxdji
暗香	an xiang	anxd	452	2	anxda anxdah
暗想	an xiang	anxd	164	2	anxda anxdad
安祥	an xiang	anxd	131	2	anxdj anxdji
安享	an xiang	anxd	123	2	anxdj anxdjy
暗箱	an xiang	anxd	121	2	anxda anxdah
安息	an xi	anxi	504	2	anxij anxijh
安西	an xi	anxi	244	2	anxij anxijm
暗喜	an xi	anxi	83	2	anxia anxiag
安溪县	an xi xian	anxixm	189	3	anxixmj anxixmjb
岸线	an xian	anxm	121	2	anxmu anxmuv
安闲	an xian	anxm	55	2	anxmj anxmjl
安心	an xin	anxn	2636	2	anxnj anxnjp
安新	an xin	anxn	148	2	anxnj anxnjy
按需	an xu	anxu	246	2	anxuq anxuqm
按下	an xia	anxw	1175	2	anxwq anxwqm
暗下	an xia	anxw	89	2	anxwa anxwam
按压	an ya	anya	355	2	anyaq anyaqm
案由	an you	anyb	64	2	anybj anybjl
暗夜	an ye	anye	1085	2	anyea anyeay
安阳	an yang	anyh	2296	2	anyhj anyhjn
安阳市	an yang shi	anyhui	349	3	anyhuij anyhuijy
安阳县	an yang xian	anyhxm	171	3	anyhxmj anyhxmjb
安逸	an yi	anyi	966	2	anyij anyijy
铵盐	an yan	anyj	63	2	anyjo anyjog
按要求	an yao qiu	anykqq	443	3	anykqqq anykqqqi
安源	an yuan	anyr	214	2	anyrj anyrje
按原	an yuan	anyr	173	2	anyrq anyrqm
安远	an yuan	anyr	157	2	anyrj anyrjy
暗涌	an yong	anys	241	2	anysa anysae
按月	an yue	anyt	359	2	anytq anytqb
安岳	an yue	anyt	214	2	anytj anytjo
安于	an yu	anyu	292	2	anyuj anyujm
暗语	an yu	anyu	133	2	anyua anyuai
暗喻	an yu	anyu	59	2	anyua anyuar
暗影	an ying	anyy	510	2	anyya anyyaa
安营	an ying	anyy	90	2	anyyj anyyjt
安葬	an zang	anzh	280	2	anzhj anzhjt
暗自	an zi	anzi	1076	2	anzia anziah
案子	an zi	anzi	701	2	anzij anzijn
安在	an zai	anzl	246	2	anzlj anzljk
安坐	an zuo	anzo	51	2	anzoj anzojo
嗷嗷	ao ao	aoao	349	2	aoaor aoaorr
嗷嗷待哺	ao ao dai bu	aoaodlbu	50	4	aoaodlbur aoaodlburr
奥巴马	ao ba ma	aobama	6064	3	aobamah aobamahn
凹版	ao ban	aobj	70	2	aobjs aobjsl
敖包	ao bao	aobk	116	2	aobkg aobkgp
鳌拜	ao bai	aobl	65	2	aoblq aoblqh
奥博	ao bo	aobo	126	2	aoboh aobohj
凹槽	ao cao	aock	158	2	aocks aocksd
奥德赛	ao de sai	aodesl	670	3	aodeslh aodeslhj
奥迪	ao di	aodi	5870	2	aodih aodihy
奥地利	ao di li	aodili	1122	3	aodilih aodilihh
熬到	ao dao	aodk	251	2	aodkg aodkgm
奥黛丽	ao dai li	aodlli	173	3	aodllih aodllihm
敖东	ao dong	aods	84	2	aodsg aodsgk
奥丁	ao ding	aody	195	2	aodyh aodyhm
奥尔	ao er	aoer	188	2	aoerh aoerhn
熬过	ao guo	aogo	273	2	aogog aogogy
傲骨	ao gu	aogu	144	2	aoguo aoguob
奥古斯都	ao gu si du	aogusidu	39	4	aogusiduh aogusiduhj
奥古斯丁	ao gu si ding	aogusidy	64	4	aogusidyh aogusidyhm
敖汉	ao han	aohj	167	2	aohjg aohjge
敖汉旗	ao han qi	aohjqi	147	3	aohjqig aohjqigy
懊悔	ao hui	aohv	425	2	aohvp aohvpp
拗口	ao kou	aokb	60	2	aokbq aokbqr
奥克兰	ao ke lan	aokelj	171	3	aokeljh aokeljht
奥克斯	ao ke si	aokesi	523	3	aokesih aokesiht
傲立	ao li	aoli	69	2	aolio aolioy
奥兰多	ao lan duo	aoljdo	271	3	aoljdoh aoljdohn
奥林	ao lin	aoln	234	2	aolnh aolnhd
奥林匹克	ao lin pi ke	aolnpike	1978	4	aolnpikeh aolnpikehj
奥林匹亚	ao lin pi ya	aolnpiya	136	4	aolnpiyah aolnpiyahm
奥妙	ao miao	aomc	402	2	aomch aomchv
澳门	ao men	aomf	4860	2	aomfe aomfel
奥秘	ao mi	aomi	917	2	aomih aomihh
傲慢	ao man	aomj	711	2	aomjo aomjop
奥美	ao mei	aomz	232	2	aomzh aomzht
奥尼尔	ao ni er	aonier	811	3	aonierh aonierhn
懊恼	ao nao	aonk	571	2	aonkp aonkpp
傲气	ao qi	aoqi	291	2	aoqio aoqioo
獒犬	ao quan	aoqr	51	2	aoqrg aoqrgi
傲人	ao ren	aorf	254	2	aorfo aorfoo
傲然	ao ran	aorj	254	2	aorjo aorjob
奥斯卡	ao si ka	aosika	2012	3	aosikah aosikahy
奥斯特	ao si te	aosite	113	3	aositeh aositehh
奥斯汀	ao si ting	aosity	152	3	aosityh aosityhe
鳌头	ao tou	aotb	196	2	aotbq aotbqy
奥特	ao te	aote	576	2	aoteh aotehh
奥特曼	ao te man	aotemj	880	3	aotemjh aotemjha
熬汤	ao tang	aoth	59	2	aothg aothge
奥拓	ao tuo	aoto	941	2	aotoh aotohq
奥托	ao tuo	aoto	146	2	aotoh aotohq
凹凸	ao tu	aotu	594	2	aotus aotusb
傲世	ao shi	aoui	334	2	aouio aouiop
傲视	ao shi	aoui	328	2	aouio aouioi
奥氏体	ao shi ti	aouiti	103	3	aouitih aouitiho
奥数	ao shu	aouu	1083	2	aouuh aouuhf
奥术	ao shu	aouu	93	2	aouuh aouuhi
澳洲	ao zhou	aovb	2817	2	aovbe aovbee
熬粥	ao zhou	aovb	61	2	aovbg aovbgn
熬制	ao zhi	aovi	86	2	aovig aovigh
鏖战	ao zhan	aovj	373	2	aovji aovjiy
奥委会	ao wei hui	aowzhv	573	3	aowzhvh aowzhvho
翱翔	ao xiang	aoxd	622	2	aoxdh aoxdht
凹陷	ao xian	aoxm	537	2	aoxms aoxmsn
傲游	ao you	aoyb	479	2	aoybo aoyboe
遨游	ao you	aoyb	471	2	aoyby aoybye
熬夜	ao ye	aoye	915	2	aoyeg aoyegy
奥义	ao yi	aoyi	172	2	aoyih aoyihi
奥运村	ao yun cun	aoypcp	620	3	aoypcph aoypcphd
澳元	ao yuan	aoyr	683	2	aoyre aoyrem
奥组委	ao zu wei	aozuwz	394	3	aozuwzh aozuwzhh
安排	an pai	ap	18580	2	apj apjq anpl anplj anpljq
安全	an quan	aq	70688	2	aqj aqjo anqr anqrj anqrjo
爱情	ai qing	aq	45099	2	aqb aqbp aiqy aiqyb aiqybp
安装	an zhuang	av	26600	2	avj avjl anvd anvdj anvdjl
按照	an zhao	av	18740	2	avq avqa anvk anvkq anvkqa
奥运	ao yun	ay	28443	2	ayh ayhy aoyp aoyph aoyphy
奥运会	ao yun hui	ayh	8588	3	ayhh ayhho aoyphv aoyphvh aoyphvho
巴巴	ba ba	baba	522	2	babaa babaaa
八八	ba ba	baba	243	2	babah babahh
粑粑	ba ba	baba	172	2	babaf babaff
巴巴多斯	ba ba duo si	babadosi	41	4	babadosia babadosiat
芭比	ba bi	babi	2342	2	babit babitp
巴比伦	ba bi lun	babilp	253	3	babilpa babilpao
八班	ba ban	babj	66	2	babjh babjhm
八宝	ba bao	babk	707	2	babkh babkhj
八宝山	ba bao shan	babkuj	288	3	babkujh babkujhu
八百	ba bai	babl	623	2	bablh bablhm
八部	ba bu	babu	1280	2	babuh babuhy
八步	ba bu	babu	143	2	babuh babuhy
巴布	ba bu	babu	92	2	babua babuak
巴不得	ba bu de	babude	229	3	babudea babudeah
把柄	ba bing	baby	217	2	babyq babyqd
八层	ba ceng	bacg	101	2	bacgh bacghs
八次	ba ci	baci	362	2	bacih bacihi
拔草	ba cao	back	57	2	backq backqt
八大	ba da	bada	2399	2	badah badahk
吧嗒	ba da	bada	94	2	badar badarr
八达岭	ba da ling	badaly	544	3	badalyh badalyhu
巴豆	ba dou	badb	194	2	badba badbam
拔掉	ba diao	badc	325	2	badcq badcqq
巴登	ba deng	badg	59	2	badga badgan
拔地	ba di	badi	182	2	badiq badiqg
巴蒂	ba di	badi	120	2	badia badiat
巴蒂尔	ba di er	badier	443	3	badiera badieran
霸道	ba dao	badk	1561	2	badkm badkmy
把刀	ba dao	badk	440	2	badkq badkqs
拔刀	ba dao	badk	191	2	badkq badkqs
八道江区	ba dao jiang qu	badkjdqu	33	4	badkjdquh badkjdquhs
八代	ba dai	badl	375	2	badlh badlho
八点	ba dian	badm	941	2	badmh badmhy
八点半	ba dian ban	badmbj	155	3	badmbjh badmbjhf
巴顿	ba dun	badp	425	2	badpa badpap
八段	ba duan	badr	110	2	badrh badrhh
巴东	ba dong	bads	447	2	badsa badsak
巴东县	ba dong xian	badsxm	257	3	badsxma badsxmab
八度	ba du	badu	172	2	baduh baduhi
八二	ba er	baer	268	2	baerh baerhm
巴尔	ba er	baer	198	2	baera baeran
巴尔的摩	ba er di mo	baerdimo	54	4	baerdimoa baerdimoai
巴尔扎克	ba er zha ke	baervake	110	4	baervakea baervakeaj
巴伐利亚	ba fa li ya	bafaliya	91	4	bafaliyaa bafaliyaam
八分	ba fen	baff	286	2	baffh baffhc
八分钟	ba fen zhong	baffvs	101	3	baffvsh baffvsho
把风	ba feng	bafg	66	2	bafgq bafgqh
八方	ba fang	bafh	1195	2	bafhh bafhhy
巴甫洛夫	ba fu luo fu	bafulofu	31	4	bafulofua bafulofuaq
巴菲特	ba fei te	bafzte	1387	3	bafztea bafzteah
八个	ba ge	bage	1742	2	bageh bageho
八哥	ba ge	bage	207	2	bageh bagehm
巴格达	ba ge da	bageda	335	3	bagedaa bagedaay
八个月	ba ge yue	bageyt	310	3	bageyth bageythb
拔高	ba gao	bagk	135	2	bagkq bagkqy
八国	ba guo	bago	397	2	bagoh bagohw
巴国	ba guo	bago	62	2	bagoa bagoaw
把关	ba guan	bagr	551	2	bagrq bagrqc
拔罐	ba guan	bagr	173	2	bagrq bagrqo
罢工	ba gong	bags	674	2	bagsw bagswm
八公山区	ba gong shan qu	bagsujqu	35	4	bagsujquh bagsujquhs
八股	ba gu	bagu	142	2	baguh baguhb
八卦	ba gua	bagw	8865	2	bagwh bagwhg
巴哈	ba ha	baha	96	2	bahaa bahaar
八荒	ba huang	bahd	93	2	bahdh bahdht
巴赫	ba he	bahe	275	2	bahea baheag
拔河	ba he	bahe	231	2	baheq baheqe
疤痕	ba hen	bahf	1366	2	bahfk bahfkk
把好	ba hao	bahk	438	2	bahkq bahkqv
八号	ba hao	bahk	300	2	bahkh bahkhr
跋扈	ba hu	bahu	238	2	bahur bahurh
把话	ba hua	bahw	226	2	bahwq bahwqi
把车	ba che	baie	581	2	baieq baieqk
八成	ba cheng	baig	1239	2	baigh baighi
八成新	ba cheng xin	baigxn	388	3	baigxnh baigxnhy
靶场	ba chang	baih	68	2	baiht baihtg
把持	ba chi	baii	322	2	baiiq baiiqq
八尺	ba chi	baii	86	2	baiih baiihs
把持着	ba chi zhe	baiive	203	3	baiiveq baiiveqt
拔出	ba chu	baiu	451	2	baiuq baiuqu
拔除	ba chu	baiu	139	2	baiuq baiuqn
巴楚	ba chu	baiu	67	2	baiua baiuad
拔出来	ba chu lai	baiull	112	3	baiullq baiullqd
八角	ba jiao	bajc	799	2	bajch bajchn
芭蕉	ba jiao	bajc	335	2	bajct bajctt
八脚	ba jiao	bajc	72	2	bajch bajchb
八级	ba ji	baji	507	2	bajih bajihv
八集	ba ji	baji	321	2	bajih bajiho
吧唧	ba ji	baji	118	2	bajir bajirr
八极	ba ji	baji	95	2	bajih bajihd
八季	ba ji	baji	53	2	bajih bajihh
巴基斯坦	ba ji si tan	bajisitj	1526	4	bajisitja bajisitjag
拔剑	ba jian	bajm	160	2	bajmq bajmqo
拔尖	ba jian	bajm	129	2	bajmq bajmqf
巴金	ba jin	bajn	266	2	bajna bajnac
八九	ba jiu	bajq	669	2	bajqh bajqhk
把酒	ba jiu	bajq	352	2	bajqq bajqqe
八句	ba ju	baju	78	2	bajuh bajuhp
把家	ba jia	bajw	420	2	bajwq bajwqj
八家	ba jia	bajw	125	2	bajwh bajwhj
八戒	ba jie	bajx	896	2	bajxh bajxhi
八届	ba jie	bajx	870	2	bajxh bajxhs
八节	ba jie	bajx	703	2	bajxh bajxht
巴结	ba jie	bajx	178	2	bajxa bajxav
拔节	ba jie	bajx	62	2	bajxq bajxqt
八景	ba jing	bajy	232	2	bajyh bajyha
巴克	ba ke	bake	174	2	bakea bakeaj
八颗	ba ke	bake	61	2	bakeh bakehw
巴克莱	ba ke lai	bakell	134	3	bakella bakellat
扒开	ba kai	bakl	88	2	baklq baklqm
八块	ba kuai	baky	106	2	bakyh bakyhg
巴拉	ba la	bala	124	2	balaa balaaq
扒拉	ba la	bala	72	2	balaq balaqq
巴拉圭	ba la gui	balagv	342	3	balagva balagvag
巴拉克	ba la ke	balake	242	3	balakea balakeaj
八楼	ba lou	balb	115	2	balbh balbhd
罢了	ba le	bale	3542	2	balew balewn
拔了	ba le	bale	212	2	baleq baleqn
巴勒斯坦	ba le si tan	balesitj	496	4	balesitja balesitjag
巴黎	ba li	bali	4816	2	balia baliah
八里	ba li	bali	1352	2	balih balihw
巴厘	ba li	bali	574	2	balia baliam
巴里	ba li	bali	297	2	balia baliaw
巴利	ba li	bali	117	2	balia baliah
巴厘岛	ba li dao	balidk	509	3	balidka balidkap
把脸	ba lian	balm	412	2	balmq balmqb
巴林	ba lin	baln	419	2	balna balnad
巴林右旗	ba lin you qi	balnybqi	66	4	balnybqia balnybqiay
巴林左旗	ba lin zuo qi	balnzoqi	70	4	balnzoqia balnzoqiay
巴洛克	ba luo ke	baloke	242	3	balokea balokeaj
巴伦西亚	ba lun xi ya	balpxiya	48	4	balpxiyaa balpxiyaam
八路	ba lu	balu	914	2	baluh baluhr
八路军	ba lu jun	balujp	389	3	balujph balujphb
霸凌	ba ling	baly	300	2	balym balymi
巴陵	ba ling	baly	85	2	balya balyan
芭蕾	ba lei	balz	1086	2	balzt balztt
八类	ba lei	balz	72	2	balzh balzhf
芭蕾舞	ba lei wu	balzwu	369	3	balzwut balzwuto
爸妈	ba ma	bama	2643	2	bamac bamacv
拔苗助长	ba miao zhu zhang	bamcvuvh	51	4	bamcvuvhq bamcvuvhqp
八门	ba men	bamf	595	2	bamfh bamfhl
把门	ba men	bamf	406	2	bamfq bamfql
拔毛	ba mao	bamk	72	2	bamkq bamkqh
把脉	ba mai	baml	293	2	bamlq bamlqb
八面	ba mian	bamm	372	2	bammh bammhm
罢免	ba mian	bamm	223	2	bammw bammwn
把妹	ba mei	bamz	53	2	bamzq bamzqv
把那	ba na	bana	1319	2	banaq banaqs
巴拿马	ba na ma	banama	380	3	banamaa banamaan
巴拿马城	ba na ma cheng	banamaig	32	4	banamaiga banamaigag
把尿	ba niao	banc	86	2	bancq bancqs
把你	ba ni	bani	6791	2	baniq baniqo
巴南	ba nan	banj	772	2	banja banjaj
巴南区	ba nan qu	banjqu	217	3	banjqua banjquas
八年	ba nian	banm	1704	2	banmh banmho
八年级	ba nian ji	banmji	643	3	banmjih banmjihv
扒皮	ba pi	bapi	83	2	bapiq bapiqd
八婆	ba po	bapo	121	2	bapoh bapohe
灞桥	ba qiao	baqc	385	2	baqce baqced
巴乔	ba qiao	baqc	200	2	baqca baqcah
灞桥区	ba qiao qu	baqcqu	111	3	baqcque baqcques
八强	ba qiang	baqd	560	2	baqdh baqdhn
霸气	ba qi	baqi	724	2	baqim baqimo
八旗	ba qi	baqi	172	2	baqih baqihy
八期	ba qi	baqi	135	2	baqih baqiht
八七	ba qi	baqi	101	2	baqih baqihj
拔起	ba qi	baqi	63	2	baqiq baqiqg
把钱	ba qian	baqm	1028	2	baqmq baqmqo
八千	ba qian	baqm	519	2	baqmh baqmhh
把球	ba qiu	baqq	376	2	baqqq baqqqm
霸权	ba quan	baqr	366	2	baqrm baqrmd
八区	ba qu	baqu	155	2	baquh baquhs
把人	ba ren	barf	1029	2	barfq barfqo
八日	ba ri	bari	265	2	barih bariha
八荣八耻	ba rong ba chi	barsbaii	101	4	barsbaiih barsbaiihs
巴萨	ba sa	basa	2079	2	basaa basaat
巴斯	ba si	basi	186	2	basia basiat
拔丝	ba si	basi	107	2	basiq basiqv
八思巴	ba si ba	basiba	284	3	basibah basibaha
巴斯滕	ba si teng	basitg	107	3	basitga basitgab
八三	ba san	basj	55	2	basjh basjhm
巴塞尔	ba sai er	basler	143	3	baslera basleran
巴塞罗那	ba sai luo na	basllona	933	4	basllonaa basllonaas
八岁	ba sui	basv	455	2	basvh basvhu
把它	ba ta	bata	5797	2	bataq bataqj
把他	ba ta	bata	5405	2	bataq bataqo
把她	ba ta	bata	3233	2	bataq bataqv
把头	ba tou	batb	821	2	batbq batbqy
八条	ba tiao	batc	567	2	batch batchh
巴特	ba te	bate	149	2	batea bateah
巴塘	ba tang	bath	75	2	batha bathag
吧台	ba tai	batl	367	2	batlr batlri
八天	ba tian	batm	318	2	batmh batmhm
八通	ba tong	bats	314	2	batsh batshy
拔腿	ba tui	batv	99	2	batvq batvqb
把手	ba shou	baub	2007	2	baubq baubqq
把守	ba shou	baub	188	2	baubq baubqj
罢手	ba shou	baub	95	2	baubw baubwq
跋涉	ba she	baue	520	2	bauer bauere
八神	ba shen	bauf	384	2	baufh baufhi
坝上	ba shang	bauh	308	2	bauhg bauhgy
八十	ba shi	baui	3129	2	bauih bauihj
巴士	ba shi	baui	1935	2	bauia bauiaj
巴氏	ba shi	baui	112	2	bauia bauiah
八世	ba shi	baui	68	2	bauih bauihp
巴山	ba shan	bauj	231	2	bauja baujau
跋山涉水	ba shan she shui	baujueuv	74	4	baujueuvr baujueuvre
巴蜀	ba shu	bauu	420	2	bauua bauuaw
把书	ba shu	bauu	284	2	bauuq bauuqi
把水	ba shui	bauv	257	2	bauvq bauvqe
霸州	ba zhou	bavb	326	2	bavbm bavbmh
巴州	ba zhou	bavb	198	2	bavba bavbah
八周	ba zhou	bavb	61	2	bavbh bavbhb
霸州市	ba zhou shi	bavbui	165	3	bavbuim bavbuimy
把这	ba zhe	bave	3236	2	baveq baveqy
把着	ba zhe	bave	307	2	baveq baveqt
拔着	ba zhe	bave	252	2	baveq baveqt
八折	ba zhe	bave	195	2	baveh bavehq
霸者	ba zhe	bave	74	2	bavem bavemj
把这两	ba zhe liang	baveld	123	3	baveldq baveldqm
八珍	ba zhen	bavf	80	2	bavfh bavfhm
八章	ba zhang	bavh	6641	2	bavhh bavhhy
巴掌	ba zhang	bavh	1013	2	bavha bavhaf
八张	ba zhang	bavh	54	2	bavhh bavhhn
八只	ba zhi	bavi	94	2	bavih bavihr
霸占	ba zhan	bavj	441	2	bavjm bavjmy
八爪鱼	ba zhao yu	bavkyu	103	3	bavkyuh bavkyuhn
巴中	ba zhong	bavs	836	2	bavsa bavsal
八种	ba zhong	bavs	448	2	bavsh bavshh
巴中市	ba zhong shi	bavsui	141	3	bavsuia bavsuiay
霸主	ba zhu	bavu	741	2	bavum bavumy
吧主	ba zhu	bavu	250	2	bavur bavury
把住	ba zhu	bavu	62	2	bavuq bavuqo
霸王	ba wang	bawh	2533	2	bawhm bawhmm
霸王别姬	ba wang bie ji	bawhbxji	210	4	bawhbxjim bawhbxjimv
霸王龙	ba wang long	bawhls	171	3	bawhlsm bawhlsmi
把玩	ba wan	bawj	332	2	bawjq bawjqm
八万	ba wan	bawj	212	2	bawjh bawjhm
把我	ba wo	bawo	10855	2	bawoq bawoqh
把握	ba wo	bawo	8986	2	bawoq bawoqq
把握好	ba wo hao	bawohk	558	3	bawohkq bawohkqv
把握着	ba wo zhe	bawove	266	3	bawoveq bawoveqt
把握住	ba wo zhu	bawovu	499	3	bawovuq bawovuqo
八五	ba wu	bawu	146	2	bawuh bawuhm
八位	ba wei	bawz	244	2	bawzh bawzho
八小时	ba xiao shi	baxcui	224	3	baxcuih baxcuiha
八项	ba xiang	baxd	288	2	baxdh baxdhm
巴西	ba xi	baxi	4839	2	baxia baxiam
把戏	ba xi	baxi	403	2	baxiq baxiqe
巴西队	ba xi dui	baxidv	310	3	baxidva baxidvan
巴西人	ba xi ren	baxirf	152	3	baxirfa baxirfao
八仙	ba xian	baxm	548	2	baxmh baxmho
罢休	ba xiu	baxq	401	2	baxqw baxqwo
拔下	ba xia	baxw	171	2	baxwq baxwqm
八下	ba xia	baxw	120	2	baxwh baxwhm
拔牙	ba ya	baya	235	2	bayaq bayaqm
霸业	ba ye	baye	261	2	bayem bayemt
八爷	ba ye	baye	67	2	bayeh bayehc
八一	ba yi	bayi	1825	2	bayih bayihm
八亿	ba yi	bayi	150	2	bayih bayiho
巴以	ba yi	bayi	141	2	bayia bayiav
八一队	ba yi dui	bayidv	131	3	bayidvh bayidvhn
把衣服	ba yi fu	bayifu	307	3	bayifuq bayifuqb
巴彦	ba yan	bayj	304	2	bayja bayjay
罢演	ba yan	bayj	53	2	bayjw bayjwe
巴彦淖尔	ba yan nao er	bayjnker	531	4	bayjnkera bayjnkeran
八音	ba yin	bayn	189	2	baynh baynhy
八音盒	ba yin he	baynhe	122	3	baynheh baynheho
八月	ba yue	bayt	2682	2	bayth baythb
八月份	ba yue fen	baytff	206	3	baytffh baytffho
八字	ba zi	bazi	1007	2	bazih bazihj
靶子	ba zi	bazi	163	2	bazit bazitn
把子	ba zi	bazi	118	2	baziq baziqn
坝子	ba zi	bazi	72	2	bazig bazign
并不	bing bu	bb	40158	2	bbt bbtm bybu bybut bybutm
宝宝	bao bao	bb	30784	2	bbj bbjj bkbk bkbkj bkbkjj
爸爸	ba ba	bb	18480	2	bbc bbcc baba babac babacc
宝贝	bao bei	bb	15521	2	bbj bbjb bkbz bkbzj bkbzjb
版本	ban ben	bb	12727	2	bbl bbld bjbf bjbfl bjbfld
并不是	bing bu shi	bbu	11725	3	bbut bbuta bybuui bybuuit bybuuita
不错	bu cuo	bc	28356	2	bcm bcmo buco bucom bucomo
标本	biao ben	bcbf	1013	2	bcbfd bcbfdd
标榜	biao bang	bcbh	442	2	bcbhd bcbhdd
表白	biao bai	bcbl	1675	2	bcblq bcblqh
标兵	biao bing	bcby	327	2	bcbyd bcbydo
表层	biao ceng	bccg	498	2	bccgq bccgqs
表达式	biao da shi	bcdaui	623	3	bcdauiq bcdauiqi
标的	biao di	bcdi	1098	2	bcdid bcdidh
表弟	biao di	bcdi	632	2	bcdiq bcdiqc
标底	biao di	bcdi	55	2	bcdid bcdidi
表单	biao dan	bcdj	1323	2	bcdjq bcdjqc
表带	biao dai	bcdl	188	2	bcdlq bcdlqt
标点	biao dian	bcdm	438	2	bcdmd bcdmdy
标段	biao duan	bcdr	614	2	bcdrd bcdrdh
标定	biao ding	bcdy	210	2	bcdyd bcdydj
表哥	biao ge	bcge	998	2	bcgeq bcgeqm
标杆	biao gan	bcgj	546	2	bcgjd bcgjdd
标高	biao gao	bcgk	134	2	bcgkd bcgkdy
表观	biao guan	bcgr	103	2	bcgrq bcgrqe
彪悍	biao han	bchj	1535	2	bchjy bchjyp
标号	biao hao	bchk	229	2	bchkd bchkdr
飙车	biao che	bcie	867	2	bciei bcieik
标称	biao cheng	bcig	522	2	bcigd bcigdh
标尺	biao chi	bcii	198	2	bciid bciids
标出	biao chu	bciu	139	2	bciud bciudu
标记	biao ji	bcji	3536	2	bcjid bcjidi
标间	biao jian	bcjm	328	2	bcjmd bcjmdl
表决	biao jue	bcjt	2012	2	bcjtq bcjtqi
表决权	biao jue quan	bcjtqr	515	3	bcjtqrq bcjtqrqd
镖局	biao ju	bcju	176	2	bcjuo bcjuos
标价	biao jia	bcjw	744	2	bcjwd bcjwdo
表姐	biao jie	bcjx	905	2	bcjxq bcjxqv
表壳	biao ke	bcke	114	2	bckeq bckeqg
表里	biao li	bcli	293	2	bcliq bcliqw
表露	biao lu	bclu	464	2	bcluq bcluqm
彪马	biao ma	bcma	168	2	bcmay bcmayn
表面	biao mian	bcmm	11286	2	bcmmq bcmmqm
表面积	biao mian ji	bcmmji	214	3	bcmmjiq bcmmjiqh
表面上	biao mian shang	bcmmuh	1376	3	bcmmuhq bcmmuhqy
表明	biao ming	bcmy	6293	2	bcmyq bcmyqa
标明	biao ming	bcmy	678	2	bcmyd bcmyda
表妹	biao mei	bcmz	942	2	bcmzq bcmzqv
表皮	biao pi	bcpi	677	2	bcpiq bcpiqd
表盘	biao pan	bcpj	169	2	bcpjq bcpjqh
标牌	biao pai	bcpl	1225	2	bcpld bcpldl
标普	biao pu	bcpu	145	2	bcpud bcpudt
标配	biao pei	bcpz	1009	2	bcpzd bcpzdm
标枪	biao qiang	bcqd	130	2	bcqdd bcqddd
表情	biao qing	bcqy	11105	2	bcqyq bcqyqp
表嫂	biao sao	bcsk	71	2	bcskq bcskqv
表头	biao tou	bctb	87	2	bctbq bctbqy
标题栏	biao ti lan	bctilj	103	3	bctiljd bctiljdd
表态	biao tai	bctl	1289	2	bctlq bctlqk
飙升	biao sheng	bcug	1189	2	bcugi bcugih
标上	biao shang	bcuh	71	2	bcuhd bcuhdy
标识	biao shi	bcui	2762	2	bcuid bcuidi
标示	biao shi	bcui	514	2	bcuid bcuidm
镖师	biao shi	bcui	52	2	bcuio bcuioi
表示出	biao shi chu	bcuiiu	182	3	bcuiiuq bcuiiuqu
表述	biao shu	bcuu	1135	2	bcuuq bcuuqy
标书	biao shu	bcuu	312	2	bcuud bcuudi
表叔	biao shu	bcuu	91	2	bcuuq bcuuqy
表率	biao shuai	bcuy	321	2	bcuyq bcuyqy
表征	biao zheng	bcvg	790	2	bcvgq bcvgqh
表彰	biao zhang	bcvh	2177	2	bcvhq bcvhqy
飙涨	biao zhang	bcvh	314	2	bcvhi bcvhie
标志	biao zhi	bcvi	8881	2	bcvid bcvidg
标致	biao zhi	bcvi	3001	2	bcvid bcvidm
标志着	biao zhi zhe	bcvive	1054	3	bcvived bcvivedt
